sample,sample_code,year,state,field,city,lat,lon,cultivar,crop_system,previous_crop,substrate,FCSC,FFSC,FGSC,FIESC,n_isolates,Complex,n_complex,MON,DON,AcDON,DON_total,HT-2,T-2,NEO,ZEA,ENN B,ENN B1,ENN A1,ENN A,BEA,FUM B1,FUM B2
RF01,15GO001,2015,GO (29),1,Brazabrantes,-16.42875,-49.385889,BRS Esmeralda,High lands,soybean,flour,0,0,0,8,8,FIESC,NA,NA,NA,1.4,1.4,NA,NA,0.001,NA,NA,NA,NA,NA,3.8,NA,NA
RF02,15GO002,2015,GO (29),2,Brazabrantes,-16.42875,-49.385889,BRS Sertaneja,High lands,soybean,flour,0,1,0,0,1,FFSC,NA,NA,NA,3,3,0.6,NA,0.001,0.1,NA,NA,NA,NA,NA,NA,NA
RF03,15GO003,2015,GO (29),3,Brazabrantes,-16.42875,-49.385889,BRS Primavera,High lands,soybean,flour,0,1,0,3,4,FFSC+FIESC,NA,NA,NA,2.8,2.8,NA,NA,NA,NA,NA,NA,NA,NA,0.001,0.001,2.1
RF05,15GO005,2015,GO (29),5,Brazabrantes,-16.42875,-49.385889,BRS Esmeralda,High lands,soybean,flour,0,0,0,2,2,FIESC,NA,NA,NA,2.6,2.6,0.5,NA,NA,NA,NA,NA,NA,NA,21.4,NA,NA
RF06,15GO006,2015,GO (29),6,Brazabrantes,-16.42875,-49.385889,BRS Sertaneja,High lands,soybean,flour,0,0,0,5,5,FIESC,NA,NA,NA,6.8,6.8,2.8,0.9,NA,73.2,0.001,2.4,0.001,0.001,53.2,NA,NA
RF07,15GO008,2015,GO (29),8,Brazabrantes,-16.42875,-49.385889,AN Cambará,High lands,soybean,flour,0,1,0,1,2,FFSC+FIESC,NA,NA,NA,8.7,8.7,0.001,NA,0.001,1,0.001,0.001,NA,NA,14,NA,NA
RF08,15GO010,2015,GO (29),10,Brazabrantes,-16.42875,-49.385889,BRS MG Predileta,Irrigated,rice,flour,0,0,0,5,5,FIESC,NA,NA,NA,3.3,3.3,NA,NA,0.001,NA,NA,NA,NA,NA,27.4,NA,NA
RF10,15GO018,2015,GO (29),18,Brazabrantes,-16.42875,-49.385889,BRS Taim,Irrigated,rice,flour,0,0,0,0,0,None,NA,NA,NA,1.1,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001
RF11,15GO019,2015,GO (29),19,Brazabrantes,-16.42875,-49.385889,SCS BRS Tio Taka,Irrigated,rice,flour,0,3,0,2,5,FFSC+FIESC,NA,NA,0.001,6.6,6.601,0.6,NA,0.001,NA,NA,NA,NA,NA,NA,0.001,NA
RF12,15GO020,2015,GO (29),20,Brazabrantes,-16.42875,-49.385889,BRS Sinuelo,Irrigated,rice,flour,3,3,0,5,11,FCSC+FFSC+FIESC,NA,NA,NA,NA,NA,NA,NA,NA,44.9,NA,NA,NA,NA,43.3,NA,NA
